,Unnamed: 0,loss,accuracy,precision,recall,val_loss,val_accuracy,val_precision,val_recall
0,0,0.302637756,0.879878223,0.892089963,0.86677897,0.1669081,0.937198043,0.938331306,0.937198043
1,1,0.150540456,0.94108057,0.947492957,0.935699522,0.14119564,0.946859896,0.946795642,0.945652187
2,2,0.112961195,0.955429912,0.96094048,0.950755537,0.119949661,0.956521749,0.956521749,0.956521749
3,3,0.097259,0.961245775,0.967582405,0.957169235,0.180740744,0.937198043,0.937122107,0.935990334
4,4,0.08215747,0.968203068,0.973802745,0.963746071,0.128887281,0.957729459,0.957627118,0.955313981
